,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
157,B111S;CCLC,2019-05-22,1000 Inputs,1003 Computer Speakers,5104.32,568.0,3.9
158,B111S;CCLC,2019-05-23,1000 Inputs,1003 Computer Speakers,4566.92,508.0,3.86
159,B111S;CCLC,2019-05-24,1000 Inputs,1003 Computer Speakers,3710.87,413.0,3.76
160,B111S;CCLC,2019-05-25,1000 Inputs,1003 Computer Speakers,2101.66,234.0,4.37
161,B111S;CCLC,2019-05-26,1000 Inputs,1003 Computer Speakers,1708.1,190.0,5.05
162,B111S;CCLC,2019-05-27,1000 Inputs,1003 Computer Speakers,2499.22,278.0,3.92
163,B111S;CCLC,2019-05-28,1000 Inputs,1003 Computer Speakers,4530.96,504.0,3.54
164,B111S;CCLC,2019-05-29,1000 Inputs,1003 Computer Speakers,4944.5,550.0,2.49
165,B111S;CCLC,2019-05-30,1000 Inputs,1003 Computer Speakers,5404.84,516.0,3.2
166,B111S;CCLC,2019-05-31,1000 Inputs,1003 Computer Speakers,3804.54,346.0,3.4
167,B111S;CCLC,2019-06-01,1000 Inputs,1003 Computer Speakers,2285.92,208.0,3.03
168,B111S;CCLC,2019-06-02,1000 Inputs,1003 Computer Speakers,2066.12,188.0,3.51
169,B111S;CCLC,2019-06-03,1000 Inputs,1003 Computer Speakers,3307.99,301.0,4.02
170,B111S;CCLC,2019-06-04,1000 Inputs,1003 Computer Speakers,5198.27,473.0,2.91
171,B111S;CCLC,2019-06-05,1000 Inputs,1003 Computer Speakers,4654.77,423.0,3.17
172,B111S;CCLC,2019-06-06,1000 Inputs,1003 Computer Speakers,5352.13,487.0,2.48
173,B111S;CCLC,2019-06-07,1000 Inputs,1003 Computer Speakers,4330.06,394.0,2.37
174,B111S;CCLC,2019-06-08,1000 Inputs,1003 Computer Speakers,2329.88,212.0,4.23
175,B111S;CCLC,2019-06-09,1000 Inputs,1003 Computer Speakers,1780.38,162.0,2.86
176,B111S;CCLC,2019-06-10,1000 Inputs,1003 Computer Speakers,5385.1,490.0,2.23
177,B111S;CCLC,2019-06-11,1000 Inputs,1003 Computer Speakers,5121.34,466.0,3.05
178,B111S;CCLC,2019-06-12,1000 Inputs,1003 Computer Speakers,4637.78,422.0,2.14
179,B111S;CCLC,2019-06-13,1000 Inputs,1003 Computer Speakers,5156.21,479.0,2.61
180,B111S;CCLC,2019-06-14,1000 Inputs,1003 Computer Speakers,5073.92,508.0,3.28
181,B111S;CCLC,2019-06-15,1000 Inputs,1003 Computer Speakers,2216.78,222.0,2.69
182,B111S;CCLC,2019-06-16,1000 Inputs,1003 Computer Speakers,2182.81,219.0,3.26
183,B111S;CCLC,2019-06-17,1000 Inputs,1003 Computer Speakers,4844.15,485.0,2.3
184,B111S;CCLC,2019-06-18,1000 Inputs,1003 Computer Speakers,5160.83,517.0,2.78
185,B111S;CCLC,2019-06-19,1000 Inputs,1003 Computer Speakers,6050.94,606.0,3.05
186,B111S;CCLC,2019-06-20,1000 Inputs,1003 Computer Speakers,5284.71,529.0,2.97
187,B111S;CCLC,2019-06-21,1000 Inputs,1003 Computer Speakers,4695.3,470.0,2.94
188,B111S;CCLC,2019-06-22,1000 Inputs,1003 Computer Speakers,1968.03,197.0,3.67
189,B111S;CCLC,2019-06-23,1000 Inputs,1003 Computer Speakers,2627.37,263.0,2.8
190,B111S;CCLC,2019-06-24,1000 Inputs,1003 Computer Speakers,4518.79,421.0,3.26
191,B111S;CCLC,2019-06-25,1000 Inputs,1003 Computer Speakers,4217.17,383.0,2.45
192,B111S;CCLC,2019-06-26,1000 Inputs,1003 Computer Speakers,4519.89,411.0,3.09
193,B111S;CCLC,2019-06-27,1000 Inputs,1003 Computer Speakers,3769.57,343.0,4.22
